benchmark for testdata/ada_1M_000perc.txt
rdtsc_overhead set to 28
lookup_ada_pext               	:    33.205 cycle/op (best)   33.448 cycle/op (avg)
lookup_cplusplus_hash_sumN    	:    81.491 cycle/op (best)   81.614 cycle/op (avg)
lookup_cplusplus_hash_djb2    	:    66.753 cycle/op (best)   67.071 cycle/op (avg)
lookup_cplusplus_hash_sdb     	:    67.762 cycle/op (best)   67.846 cycle/op (avg)
benchmark for testdata/cplusplus_1M_075perc.txt
lookup_cplusplus_pext         	:    40.123 cycle/op (best)   40.328 cycle/op (avg)
lookup_cplusplus_split        	:    71.068 cycle/op (best)   71.184 cycle/op (avg)
lookup_cplusplus_hash1        	:    90.269 cycle/op (best)   90.378 cycle/op (avg)
lookup_cplusplus_hash2        	:    81.824 cycle/op (best)   82.036 cycle/op (avg)
lookup_cplusplus_hash3        	:    78.799 cycle/op (best)   78.975 cycle/op (avg)
lookup_cplusplus_hash_sum0    	:    80.854 cycle/op (best)   81.020 cycle/op (avg)
lookup_cplusplus_hash_sumN    	:    87.371 cycle/op (best)   87.501 cycle/op (avg)
lookup_cplusplus_hash_djb2    	:    62.544 cycle/op (best)   62.663 cycle/op (avg)
lookup_cplusplus_hash_sdb     	:    59.273 cycle/op (best)   59.354 cycle/op (avg)
benchmark for testdata/cpp_1M_000perc.txt
lookup_cpp_pext               	:    31.134 cycle/op (best)   31.409 cycle/op (avg)
lookup_cpp_hash1              	:    79.093 cycle/op (best)   79.227 cycle/op (avg)
lookup_cpp_hash2              	:    77.408 cycle/op (best)   77.569 cycle/op (avg)
lookup_cpp_hash3              	:    52.871 cycle/op (best)   52.985 cycle/op (avg)
lookup_cpp_hash_sum0          	:    47.117 cycle/op (best)   47.163 cycle/op (avg)
lookup_cpp_hash_sumN          	:    48.651 cycle/op (best)   49.074 cycle/op (avg)
lookup_cpp_hash_djb2          	:    40.411 cycle/op (best)   40.488 cycle/op (avg)
lookup_cpp_hash_sdb           	:    42.099 cycle/op (best)   42.176 cycle/op (avg)
lookup_cpp_split              	:    60.014 cycle/op (best)   60.094 cycle/op (avg)
benchmark for testdata/cpp_1M_010perc.txt
lookup_cpp_pext               	:    34.800 cycle/op (best)   35.055 cycle/op (avg)
lookup_cpp_hash1              	:    80.860 cycle/op (best)   81.189 cycle/op (avg)
lookup_cpp_hash2              	:    79.273 cycle/op (best)   79.381 cycle/op (avg)
lookup_cpp_hash3              	:    57.540 cycle/op (best)   57.707 cycle/op (avg)
lookup_cpp_hash_sum0          	:    53.003 cycle/op (best)   53.168 cycle/op (avg)
lookup_cpp_hash_sumN          	:    55.040 cycle/op (best)   55.215 cycle/op (avg)
lookup_cpp_hash_djb2          	:    44.674 cycle/op (best)   44.807 cycle/op (avg)
lookup_cpp_hash_sdb           	:    46.592 cycle/op (best)   46.694 cycle/op (avg)
lookup_cpp_split              	:    62.592 cycle/op (best)   62.902 cycle/op (avg)
benchmark for testdata/cpp_1M_025perc.txt
lookup_cpp_pext               	:    39.153 cycle/op (best)   39.450 cycle/op (avg)
lookup_cpp_hash1              	:    80.427 cycle/op (best)   80.544 cycle/op (avg)
lookup_cpp_hash2              	:    79.824 cycle/op (best)   79.906 cycle/op (avg)
lookup_cpp_hash3              	:    58.079 cycle/op (best)   58.307 cycle/op (avg)
lookup_cpp_hash_sum0          	:    60.084 cycle/op (best)   60.163 cycle/op (avg)
lookup_cpp_hash_sumN          	:    62.080 cycle/op (best)   62.153 cycle/op (avg)
lookup_cpp_hash_djb2          	:    50.857 cycle/op (best)   50.909 cycle/op (avg)
lookup_cpp_hash_sdb           	:    52.737 cycle/op (best)   52.771 cycle/op (avg)
lookup_cpp_split              	:    64.332 cycle/op (best)   64.409 cycle/op (avg)
benchmark for testdata/cpp_1M_050perc.txt
lookup_cpp_pext               	:    43.774 cycle/op (best)   44.028 cycle/op (avg)
lookup_cpp_hash1              	:    79.580 cycle/op (best)   79.675 cycle/op (avg)
lookup_cpp_hash2              	:    71.891 cycle/op (best)   72.048 cycle/op (avg)
lookup_cpp_hash3              	:    54.885 cycle/op (best)   55.035 cycle/op (avg)
lookup_cpp_hash_sum0          	:    67.076 cycle/op (best)   67.327 cycle/op (avg)
lookup_cpp_hash_sumN          	:    68.925 cycle/op (best)   69.051 cycle/op (avg)
lookup_cpp_hash_djb2          	:    58.898 cycle/op (best)   58.988 cycle/op (avg)
lookup_cpp_hash_sdb           	:    61.940 cycle/op (best)   61.995 cycle/op (avg)
lookup_cpp_split              	:    61.028 cycle/op (best)   61.153 cycle/op (avg)
benchmark for testdata/cpp_1M_075perc.txt
lookup_cpp_pext               	:    37.268 cycle/op (best)   37.566 cycle/op (avg)
lookup_cpp_hash1              	:    64.786 cycle/op (best)   64.860 cycle/op (avg)
lookup_cpp_hash2              	:    64.333 cycle/op (best)   64.513 cycle/op (avg)
lookup_cpp_hash3              	:    45.599 cycle/op (best)   45.666 cycle/op (avg)
lookup_cpp_hash_sum0          	:    65.489 cycle/op (best)   65.637 cycle/op (avg)
lookup_cpp_hash_sumN          	:    67.314 cycle/op (best)   67.403 cycle/op (avg)
lookup_cpp_hash_djb2          	:    55.694 cycle/op (best)   55.826 cycle/op (avg)
lookup_cpp_hash_sdb           	:    55.810 cycle/op (best)   55.928 cycle/op (avg)
lookup_cpp_split              	:    61.173 cycle/op (best)   61.299 cycle/op (avg)
benchmark for testdata/go_1M_000perc.txt
lookup_go_split               	:    53.475 cycle/op (best)   53.723 cycle/op (avg)
lookup_go_pext                	:    34.093 cycle/op (best)   34.183 cycle/op (avg)
lookup_go_hash1               	:    77.182 cycle/op (best)   77.246 cycle/op (avg)
lookup_go_hash2               	:    75.882 cycle/op (best)   75.979 cycle/op (avg)
lookup_go_hash3               	:    50.110 cycle/op (best)   50.346 cycle/op (avg)
lookup_go_hash_sum0           	:    45.554 cycle/op (best)   45.631 cycle/op (avg)
lookup_go_hash_sumN           	:    43.860 cycle/op (best)   43.990 cycle/op (avg)
lookup_go_hash_djb2           	:    47.054 cycle/op (best)   47.085 cycle/op (avg)
lookup_go_hash_sdb            	:    44.854 cycle/op (best)   44.987 cycle/op (avg)
benchmark for testdata/go_1M_010perc.txt
lookup_go_split               	:    56.285 cycle/op (best)   56.529 cycle/op (avg)
lookup_go_pext                	:    38.310 cycle/op (best)   38.368 cycle/op (avg)
lookup_go_hash1               	:    79.324 cycle/op (best)   79.411 cycle/op (avg)
lookup_go_hash2               	:    78.298 cycle/op (best)   78.517 cycle/op (avg)
lookup_go_hash3               	:    56.661 cycle/op (best)   56.716 cycle/op (avg)
lookup_go_hash_sum0           	:    50.043 cycle/op (best)   50.146 cycle/op (avg)
lookup_go_hash_sumN           	:    48.832 cycle/op (best)   48.921 cycle/op (avg)
lookup_go_hash_djb2           	:    51.235 cycle/op (best)   51.459 cycle/op (avg)
lookup_go_hash_sdb            	:    50.172 cycle/op (best)   50.269 cycle/op (avg)
benchmark for testdata/go_1M_025perc.txt
lookup_go_split               	:    57.677 cycle/op (best)   57.981 cycle/op (avg)
lookup_go_pext                	:    42.021 cycle/op (best)   42.079 cycle/op (avg)
lookup_go_hash1               	:    80.180 cycle/op (best)   80.258 cycle/op (avg)
lookup_go_hash2               	:    79.438 cycle/op (best)   79.541 cycle/op (avg)
lookup_go_hash3               	:    60.969 cycle/op (best)   61.033 cycle/op (avg)
lookup_go_hash_sum0           	:    55.758 cycle/op (best)   56.055 cycle/op (avg)
lookup_go_hash_sumN           	:    54.647 cycle/op (best)   54.981 cycle/op (avg)
lookup_go_hash_djb2           	:    57.445 cycle/op (best)   57.688 cycle/op (avg)
lookup_go_hash_sdb            	:    56.649 cycle/op (best)   56.730 cycle/op (avg)
benchmark for testdata/go_1M_050perc.txt
lookup_go_split               	:    53.662 cycle/op (best)   53.940 cycle/op (avg)
lookup_go_pext                	:    44.334 cycle/op (best)   44.449 cycle/op (avg)
lookup_go_hash1               	:    73.736 cycle/op (best)   74.032 cycle/op (avg)
lookup_go_hash2               	:    77.163 cycle/op (best)   77.240 cycle/op (avg)
lookup_go_hash3               	:    52.595 cycle/op (best)   52.674 cycle/op (avg)
lookup_go_hash_sum0           	:    64.223 cycle/op (best)   64.326 cycle/op (avg)
lookup_go_hash_sumN           	:    60.935 cycle/op (best)   61.134 cycle/op (avg)
lookup_go_hash_djb2           	:    65.847 cycle/op (best)   65.958 cycle/op (avg)
lookup_go_hash_sdb            	:    65.524 cycle/op (best)   65.617 cycle/op (avg)
benchmark for testdata/go_1M_075perc.txt
lookup_go_split               	:    52.372 cycle/op (best)   52.661 cycle/op (avg)
lookup_go_pext                	:    38.981 cycle/op (best)   39.046 cycle/op (avg)
lookup_go_hash1               	:    67.209 cycle/op (best)   67.317 cycle/op (avg)
lookup_go_hash2               	:    64.385 cycle/op (best)   64.484 cycle/op (avg)
lookup_go_hash3               	:    49.991 cycle/op (best)   50.060 cycle/op (avg)
lookup_go_hash_sum0           	:    59.054 cycle/op (best)   59.161 cycle/op (avg)
lookup_go_hash_sumN           	:    56.832 cycle/op (best)   56.990 cycle/op (avg)
lookup_go_hash_djb2           	:    59.285 cycle/op (best)   59.347 cycle/op (avg)
lookup_go_hash_sdb            	:    55.361 cycle/op (best)   55.434 cycle/op (avg)
benchmark for testdata/gpc_1M_000perc.txt
lookup_gpc_split              	:    54.037 cycle/op (best)   54.341 cycle/op (avg)
lookup_gpc_hash1              	:    67.640 cycle/op (best)   67.796 cycle/op (avg)
lookup_gpc_hash2              	:    56.413 cycle/op (best)   56.519 cycle/op (avg)
lookup_gpc_hash3              	:    36.405 cycle/op (best)   36.510 cycle/op (avg)
lookup_gpc_hash_sum0          	:    48.016 cycle/op (best)   48.123 cycle/op (avg)
lookup_gpc_hash_sumN          	:    48.147 cycle/op (best)   48.294 cycle/op (avg)
lookup_gpc_hash_djb2          	:    45.306 cycle/op (best)   45.398 cycle/op (avg)
lookup_gpc_hash_sdb           	:    39.741 cycle/op (best)   39.841 cycle/op (avg)
lookup_gpc_pext               	:    31.629 cycle/op (best)   31.688 cycle/op (avg)
benchmark for testdata/gpc_1M_010perc.txt
lookup_gpc_split              	:    56.694 cycle/op (best)   57.042 cycle/op (avg)
lookup_gpc_hash1              	:    72.419 cycle/op (best)   72.565 cycle/op (avg)
lookup_gpc_hash2              	:    60.367 cycle/op (best)   60.482 cycle/op (avg)
lookup_gpc_hash3              	:    43.696 cycle/op (best)   44.004 cycle/op (avg)
lookup_gpc_hash_sum0          	:    54.467 cycle/op (best)   54.509 cycle/op (avg)
lookup_gpc_hash_sumN          	:    53.995 cycle/op (best)   54.074 cycle/op (avg)
lookup_gpc_hash_djb2          	:    50.566 cycle/op (best)   50.730 cycle/op (avg)
lookup_gpc_hash_sdb           	:    44.472 cycle/op (best)   44.517 cycle/op (avg)
lookup_gpc_pext               	:    35.200 cycle/op (best)   35.271 cycle/op (avg)
benchmark for testdata/gpc_1M_025perc.txt
lookup_gpc_split              	:    58.336 cycle/op (best)   58.714 cycle/op (avg)
lookup_gpc_hash1              	:    77.235 cycle/op (best)   77.536 cycle/op (avg)
lookup_gpc_hash2              	:    61.557 cycle/op (best)   61.726 cycle/op (avg)
lookup_gpc_hash3              	:    51.940 cycle/op (best)   52.073 cycle/op (avg)
lookup_gpc_hash_sum0          	:    59.741 cycle/op (best)   59.794 cycle/op (avg)
lookup_gpc_hash_sumN          	:    59.589 cycle/op (best)   59.652 cycle/op (avg)
lookup_gpc_hash_djb2          	:    56.102 cycle/op (best)   56.265 cycle/op (avg)
lookup_gpc_hash_sdb           	:    51.975 cycle/op (best)   52.022 cycle/op (avg)
lookup_gpc_pext               	:    39.369 cycle/op (best)   39.425 cycle/op (avg)
benchmark for testdata/gpc_1M_050perc.txt
lookup_gpc_split              	:    60.277 cycle/op (best)   60.550 cycle/op (avg)
lookup_gpc_hash1              	:    77.723 cycle/op (best)   77.867 cycle/op (avg)
lookup_gpc_hash2              	:    55.650 cycle/op (best)   55.687 cycle/op (avg)
lookup_gpc_hash3              	:    53.330 cycle/op (best)   53.425 cycle/op (avg)
lookup_gpc_hash_sum0          	:    68.070 cycle/op (best)   68.674 cycle/op (avg)
lookup_gpc_hash_sumN          	:    67.778 cycle/op (best)   67.921 cycle/op (avg)
lookup_gpc_hash_djb2          	:    62.259 cycle/op (best)   62.423 cycle/op (avg)
lookup_gpc_hash_sdb           	:    60.721 cycle/op (best)   60.956 cycle/op (avg)
lookup_gpc_pext               	:    43.573 cycle/op (best)   43.641 cycle/op (avg)
benchmark for testdata/gpc_1M_075perc.txt
lookup_gpc_split              	:    55.081 cycle/op (best)   55.435 cycle/op (avg)
lookup_gpc_hash1              	:    67.730 cycle/op (best)   67.947 cycle/op (avg)
lookup_gpc_hash2              	:    49.948 cycle/op (best)   50.017 cycle/op (avg)
lookup_gpc_hash3              	:    44.761 cycle/op (best)   44.859 cycle/op (avg)
lookup_gpc_hash_sum0          	:    69.508 cycle/op (best)   70.073 cycle/op (avg)
lookup_gpc_hash_sumN          	:    64.326 cycle/op (best)   64.412 cycle/op (avg)
lookup_gpc_hash_djb2          	:    56.717 cycle/op (best)   56.853 cycle/op (avg)
lookup_gpc_hash_sdb           	:    55.703 cycle/op (best)   55.794 cycle/op (avg)
lookup_gpc_pext               	:    37.992 cycle/op (best)   38.080 cycle/op (avg)
benchmark for testdata/irc_1M_000perc.txt
lookup_irc_split              	:    61.981 cycle/op (best)   62.335 cycle/op (avg)
lookup_irc_hash1              	:    91.908 cycle/op (best)   92.044 cycle/op (avg)
lookup_irc_hash2              	:    73.701 cycle/op (best)   73.825 cycle/op (avg)
lookup_irc_hash3              	:    49.628 cycle/op (best)   49.851 cycle/op (avg)
lookup_irc_hash_sum0          	:    52.709 cycle/op (best)   52.797 cycle/op (avg)
lookup_irc_hash_sumN          	:    57.541 cycle/op (best)   57.673 cycle/op (avg)
lookup_irc_hash_djb2          	:    41.199 cycle/op (best)   41.260 cycle/op (avg)
lookup_irc_hash_sdb           	:    41.565 cycle/op (best)   41.645 cycle/op (avg)
lookup_irc_pext               	:    30.921 cycle/op (best)   30.977 cycle/op (avg)
benchmark for testdata/irc_1M_010perc.txt
lookup_irc_split              	:    64.598 cycle/op (best)   64.874 cycle/op (avg)
lookup_irc_hash1              	:    92.199 cycle/op (best)   92.431 cycle/op (avg)
lookup_irc_hash2              	:    75.494 cycle/op (best)   75.627 cycle/op (avg)
lookup_irc_hash3              	:    55.416 cycle/op (best)   55.507 cycle/op (avg)
lookup_irc_hash_sum0          	:    58.514 cycle/op (best)   58.676 cycle/op (avg)
lookup_irc_hash_sumN          	:    63.462 cycle/op (best)   63.638 cycle/op (avg)
lookup_irc_hash_djb2          	:    45.523 cycle/op (best)   45.591 cycle/op (avg)
lookup_irc_hash_sdb           	:    45.826 cycle/op (best)   45.993 cycle/op (avg)
lookup_irc_pext               	:    34.915 cycle/op (best)   34.966 cycle/op (avg)
benchmark for testdata/irc_1M_025perc.txt
lookup_irc_split              	:    66.629 cycle/op (best)   66.856 cycle/op (avg)
lookup_irc_hash1              	:    91.325 cycle/op (best)   91.460 cycle/op (avg)
lookup_irc_hash2              	:    76.539 cycle/op (best)   76.642 cycle/op (avg)
lookup_irc_hash3              	:    58.921 cycle/op (best)   59.007 cycle/op (avg)
lookup_irc_hash_sum0          	:    65.805 cycle/op (best)   65.873 cycle/op (avg)
lookup_irc_hash_sumN          	:    71.227 cycle/op (best)   71.259 cycle/op (avg)
lookup_irc_hash_djb2          	:    52.059 cycle/op (best)   52.118 cycle/op (avg)
lookup_irc_hash_sdb           	:    52.764 cycle/op (best)   53.347 cycle/op (avg)
lookup_irc_pext               	:    39.453 cycle/op (best)   39.536 cycle/op (avg)
benchmark for testdata/irc_1M_050perc.txt
lookup_irc_split              	:    67.246 cycle/op (best)   67.490 cycle/op (avg)
lookup_irc_hash1              	:    84.695 cycle/op (best)   84.787 cycle/op (avg)
lookup_irc_hash2              	:    75.020 cycle/op (best)   75.104 cycle/op (avg)
lookup_irc_hash3              	:    50.820 cycle/op (best)   50.902 cycle/op (avg)
lookup_irc_hash_sum0          	:    73.050 cycle/op (best)   73.176 cycle/op (avg)
lookup_irc_hash_sumN          	:    75.277 cycle/op (best)   75.435 cycle/op (avg)
lookup_irc_hash_djb2          	:    62.052 cycle/op (best)   62.198 cycle/op (avg)
lookup_irc_hash_sdb           	:    61.694 cycle/op (best)   61.849 cycle/op (avg)
lookup_irc_pext               	:    43.614 cycle/op (best)   43.669 cycle/op (avg)
benchmark for testdata/irc_1M_075perc.txt
lookup_irc_split              	:    63.392 cycle/op (best)   63.693 cycle/op (avg)
lookup_irc_hash1              	:    75.897 cycle/op (best)   76.031 cycle/op (avg)
lookup_irc_hash2              	:    61.112 cycle/op (best)   61.280 cycle/op (avg)
lookup_irc_hash3              	:    46.292 cycle/op (best)   46.376 cycle/op (avg)
lookup_irc_hash_sum0          	:    67.200 cycle/op (best)   67.552 cycle/op (avg)
lookup_irc_hash_sumN          	:    70.937 cycle/op (best)   71.171 cycle/op (avg)
lookup_irc_hash_djb2          	:    56.488 cycle/op (best)   56.631 cycle/op (avg)
lookup_irc_hash_sdb           	:    56.094 cycle/op (best)   56.200 cycle/op (avg)
lookup_irc_pext               	:    35.900 cycle/op (best)   35.999 cycle/op (avg)
benchmark for testdata/java_1M_000perc.txt
lookup_java_split             	:    61.788 cycle/op (best)   62.049 cycle/op (avg)
lookup_java_pext              	:    32.810 cycle/op (best)   32.860 cycle/op (avg)
lookup_java_hash1             	:    84.102 cycle/op (best)   84.171 cycle/op (avg)
lookup_java_hash2             	:    79.721 cycle/op (best)   79.851 cycle/op (avg)
lookup_java_hash3             	:    54.223 cycle/op (best)   54.330 cycle/op (avg)
lookup_java_hash_sum0         	:    50.321 cycle/op (best)   50.400 cycle/op (avg)
lookup_java_hash_sumN         	:    51.678 cycle/op (best)   51.923 cycle/op (avg)
lookup_java_hash_djb2         	:    43.346 cycle/op (best)   43.587 cycle/op (avg)
lookup_java_hash_sdb          	:    43.182 cycle/op (best)   43.275 cycle/op (avg)
benchmark for testdata/java_1M_010perc.txt
lookup_java_split             	:    60.334 cycle/op (best)   60.664 cycle/op (avg)
lookup_java_pext              	:    37.566 cycle/op (best)   37.627 cycle/op (avg)
lookup_java_hash1             	:    87.155 cycle/op (best)   87.286 cycle/op (avg)
lookup_java_hash2             	:    80.232 cycle/op (best)   80.371 cycle/op (avg)
lookup_java_hash3             	:    59.974 cycle/op (best)   60.186 cycle/op (avg)
lookup_java_hash_sum0         	:    56.960 cycle/op (best)   57.053 cycle/op (avg)
lookup_java_hash_sumN         	:    57.940 cycle/op (best)   58.093 cycle/op (avg)
lookup_java_hash_djb2         	:    47.026 cycle/op (best)   47.193 cycle/op (avg)
lookup_java_hash_sdb          	:    48.598 cycle/op (best)   49.009 cycle/op (avg)
benchmark for testdata/java_1M_025perc.txt
lookup_java_split             	:    63.110 cycle/op (best)   63.431 cycle/op (avg)
lookup_java_pext              	:    41.972 cycle/op (best)   42.038 cycle/op (avg)
lookup_java_hash1             	:    87.535 cycle/op (best)   87.705 cycle/op (avg)
lookup_java_hash2             	:    79.530 cycle/op (best)   79.655 cycle/op (avg)
lookup_java_hash3             	:    61.393 cycle/op (best)   61.598 cycle/op (avg)
lookup_java_hash_sum0         	:    64.391 cycle/op (best)   64.737 cycle/op (avg)
lookup_java_hash_sumN         	:    64.226 cycle/op (best)   64.311 cycle/op (avg)
lookup_java_hash_djb2         	:    53.603 cycle/op (best)   53.784 cycle/op (avg)
lookup_java_hash_sdb          	:    55.425 cycle/op (best)   55.600 cycle/op (avg)
benchmark for testdata/java_1M_050perc.txt
lookup_java_split             	:    67.197 cycle/op (best)   67.514 cycle/op (avg)
lookup_java_pext              	:    44.862 cycle/op (best)   44.937 cycle/op (avg)
lookup_java_hash1             	:    80.628 cycle/op (best)   80.781 cycle/op (avg)
lookup_java_hash2             	:    74.784 cycle/op (best)   74.894 cycle/op (avg)
lookup_java_hash3             	:    52.913 cycle/op (best)   53.120 cycle/op (avg)
lookup_java_hash_sum0         	:    73.696 cycle/op (best)   73.788 cycle/op (avg)
lookup_java_hash_sumN         	:    70.612 cycle/op (best)   70.827 cycle/op (avg)
lookup_java_hash_djb2         	:    64.254 cycle/op (best)   64.345 cycle/op (avg)
lookup_java_hash_sdb          	:    64.600 cycle/op (best)   64.686 cycle/op (avg)
benchmark for testdata/java_1M_075perc.txt
lookup_java_split             	:    60.711 cycle/op (best)   61.020 cycle/op (avg)
lookup_java_pext              	:    40.054 cycle/op (best)   40.109 cycle/op (avg)
lookup_java_hash1             	:    70.609 cycle/op (best)   70.891 cycle/op (avg)
lookup_java_hash2             	:    61.469 cycle/op (best)   61.631 cycle/op (avg)
lookup_java_hash3             	:    48.921 cycle/op (best)   48.999 cycle/op (avg)
lookup_java_hash_sum0         	:    79.534 cycle/op (best)   79.666 cycle/op (avg)
lookup_java_hash_sumN         	:    72.760 cycle/op (best)   72.859 cycle/op (avg)
lookup_java_hash_djb2         	:    59.082 cycle/op (best)   59.176 cycle/op (avg)
lookup_java_hash_sdb          	:    57.776 cycle/op (best)   57.853 cycle/op (avg)
benchmark for testdata/jscript_1M_000perc.txt
lookup_jscript_split          	:    55.460 cycle/op (best)   55.767 cycle/op (avg)
lookup_jscript_pext           	:    32.623 cycle/op (best)   32.677 cycle/op (avg)
lookup_jscript_hash1          	:    76.260 cycle/op (best)   76.339 cycle/op (avg)
lookup_jscript_hash2          	:    74.212 cycle/op (best)   74.306 cycle/op (avg)
lookup_jscript_hash3          	:    53.127 cycle/op (best)   53.340 cycle/op (avg)
lookup_jscript_hash_sum0      	:    50.571 cycle/op (best)   50.680 cycle/op (avg)
lookup_jscript_hash_sumN      	:    53.576 cycle/op (best)   53.771 cycle/op (avg)
lookup_jscript_hash_djb2      	:    44.390 cycle/op (best)   44.501 cycle/op (avg)
lookup_jscript_hash_sdb       	:    46.405 cycle/op (best)   46.759 cycle/op (avg)
benchmark for testdata/jscript_1M_010perc.txt
lookup_jscript_split          	:    58.002 cycle/op (best)   58.241 cycle/op (avg)
lookup_jscript_pext           	:    36.612 cycle/op (best)   36.881 cycle/op (avg)
lookup_jscript_hash1          	:    77.484 cycle/op (best)   77.664 cycle/op (avg)
lookup_jscript_hash2          	:    75.337 cycle/op (best)   75.651 cycle/op (avg)
lookup_jscript_hash3          	:    58.576 cycle/op (best)   58.652 cycle/op (avg)
lookup_jscript_hash_sum0      	:    56.078 cycle/op (best)   56.205 cycle/op (avg)
lookup_jscript_hash_sumN      	:    58.605 cycle/op (best)   58.639 cycle/op (avg)
lookup_jscript_hash_djb2      	:    48.379 cycle/op (best)   48.438 cycle/op (avg)
lookup_jscript_hash_sdb       	:    50.916 cycle/op (best)   50.977 cycle/op (avg)
benchmark for testdata/jscript_1M_025perc.txt
lookup_jscript_split          	:    60.591 cycle/op (best)   60.819 cycle/op (avg)
lookup_jscript_pext           	:    41.074 cycle/op (best)   41.116 cycle/op (avg)
lookup_jscript_hash1          	:    78.058 cycle/op (best)   78.260 cycle/op (avg)
lookup_jscript_hash2          	:    75.270 cycle/op (best)   75.467 cycle/op (avg)
lookup_jscript_hash3          	:    60.495 cycle/op (best)   60.559 cycle/op (avg)
lookup_jscript_hash_sum0      	:    62.132 cycle/op (best)   62.237 cycle/op (avg)
lookup_jscript_hash_sumN      	:    64.867 cycle/op (best)   65.031 cycle/op (avg)
lookup_jscript_hash_djb2      	:    54.693 cycle/op (best)   54.780 cycle/op (avg)
lookup_jscript_hash_sdb       	:    57.423 cycle/op (best)   57.494 cycle/op (avg)
benchmark for testdata/jscript_1M_050perc.txt
lookup_jscript_split          	:    63.603 cycle/op (best)   63.874 cycle/op (avg)
lookup_jscript_pext           	:    45.482 cycle/op (best)   45.548 cycle/op (avg)
lookup_jscript_hash1          	:    76.603 cycle/op (best)   76.727 cycle/op (avg)
lookup_jscript_hash2          	:    67.388 cycle/op (best)   67.604 cycle/op (avg)
lookup_jscript_hash3          	:    57.441 cycle/op (best)   57.530 cycle/op (avg)
lookup_jscript_hash_sum0      	:    71.230 cycle/op (best)   71.426 cycle/op (avg)
lookup_jscript_hash_sumN      	:    76.941 cycle/op (best)   77.282 cycle/op (avg)
lookup_jscript_hash_djb2      	:    63.355 cycle/op (best)   63.382 cycle/op (avg)
lookup_jscript_hash_sdb       	:    68.147 cycle/op (best)   68.410 cycle/op (avg)
benchmark for testdata/jscript_1M_075perc.txt
lookup_jscript_split          	:    57.625 cycle/op (best)   57.919 cycle/op (avg)
lookup_jscript_pext           	:    39.264 cycle/op (best)   39.386 cycle/op (avg)
lookup_jscript_hash1          	:    63.684 cycle/op (best)   63.809 cycle/op (avg)
lookup_jscript_hash2          	:    60.763 cycle/op (best)   60.885 cycle/op (avg)
lookup_jscript_hash3          	:    49.117 cycle/op (best)   49.195 cycle/op (avg)
lookup_jscript_hash_sum0      	:    71.208 cycle/op (best)   71.344 cycle/op (avg)
lookup_jscript_hash_sumN      	:    76.873 cycle/op (best)   76.971 cycle/op (avg)
lookup_jscript_hash_djb2      	:    59.255 cycle/op (best)   59.463 cycle/op (avg)
lookup_jscript_hash_sdb       	:    58.710 cycle/op (best)   58.833 cycle/op (avg)
benchmark for testdata/modula_1M_000perc.txt
lookup_modula_hash1           	:    69.218 cycle/op (best)   69.614 cycle/op (avg)
lookup_modula_hash2           	:    71.438 cycle/op (best)   71.558 cycle/op (avg)
lookup_modula_hash3           	:    43.893 cycle/op (best)   44.098 cycle/op (avg)
lookup_modula_hash_sum0       	:    48.835 cycle/op (best)   48.888 cycle/op (avg)
lookup_modula_hash_sumN       	:    50.784 cycle/op (best)   50.859 cycle/op (avg)
lookup_modula_hash_djb2       	:    42.330 cycle/op (best)   42.487 cycle/op (avg)
lookup_modula_hash_sdb        	:    44.644 cycle/op (best)   44.753 cycle/op (avg)
lookup_modula_split           	:    60.067 cycle/op (best)   60.107 cycle/op (avg)
lookup_modula_pext            	:    32.741 cycle/op (best)   32.789 cycle/op (avg)
benchmark for testdata/modula_1M_010perc.txt
lookup_modula_hash1           	:    74.066 cycle/op (best)   74.421 cycle/op (avg)
lookup_modula_hash2           	:    71.435 cycle/op (best)   71.589 cycle/op (avg)
lookup_modula_hash3           	:    51.474 cycle/op (best)   51.754 cycle/op (avg)
lookup_modula_hash_sum0       	:    54.849 cycle/op (best)   54.915 cycle/op (avg)
lookup_modula_hash_sumN       	:    56.929 cycle/op (best)   56.975 cycle/op (avg)
lookup_modula_hash_djb2       	:    44.858 cycle/op (best)   44.915 cycle/op (avg)
lookup_modula_hash_sdb        	:    49.702 cycle/op (best)   49.756 cycle/op (avg)
lookup_modula_split           	:    59.419 cycle/op (best)   59.462 cycle/op (avg)
lookup_modula_pext            	:    35.577 cycle/op (best)   35.628 cycle/op (avg)
benchmark for testdata/modula_1M_025perc.txt
lookup_modula_hash1           	:    71.273 cycle/op (best)   71.560 cycle/op (avg)
lookup_modula_hash2           	:    76.038 cycle/op (best)   76.198 cycle/op (avg)
lookup_modula_hash3           	:    56.342 cycle/op (best)   56.475 cycle/op (avg)
lookup_modula_hash_sum0       	:    60.482 cycle/op (best)   60.833 cycle/op (avg)
lookup_modula_hash_sumN       	:    61.457 cycle/op (best)   61.536 cycle/op (avg)
lookup_modula_hash_djb2       	:    52.379 cycle/op (best)   52.464 cycle/op (avg)
lookup_modula_hash_sdb        	:    55.298 cycle/op (best)   55.448 cycle/op (avg)
lookup_modula_split           	:    64.431 cycle/op (best)   64.458 cycle/op (avg)
lookup_modula_pext            	:    40.759 cycle/op (best)   40.786 cycle/op (avg)
benchmark for testdata/modula_1M_050perc.txt
lookup_modula_hash1           	:    66.808 cycle/op (best)   67.170 cycle/op (avg)
